"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"0209","A0209","Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados","",3,"02","","","","","",""
"020910","A020910","- De cerdo","",4,"0209","","","","","",""
"_02091010","A02091010","-- Tocino","",5,"020910","","","","","",""
"02091011","A02091011","--- Fresco, refrigerado, congelado, salado o en salmuera","",6,"020910","","","","","",""
"02091019","A02091019","--- Seco o ahumado","",6,"020910","","","","","",""
"02091090","A02091090","-- Grasa de cerdo","",5,"020910","","","","","",""
"02099000","A02099000","- Los demás","",4,"0209","","","","","",""
"0210","A0210","Carne y despojos comestibles, salados o en salmuera, secos o ahumados; harina y polvo comestibles, de carne o de despojos","",3,"02","","","","","",""
"_021010","A021010","- Carne de la especie porcina","",4,"0210","","","","","",""
"021011","A021011","-- Jamones, paletas, y sus trozos, sin deshuesar","",5,"021011","","","","","",""
"_0210110","A0210110","--- De la especie porcina doméstica","",6,"021011","","","","","",""
"_02101110","A02101110","---- Salados o en salmuera","",7,"021011","","","","","",""
"02101111","A02101111","----- Jamones y trozos de jamón","",8,"021011","","","","","",""
"02101119","A02101119","----- Paletas y trozos de paleta","",8,"021011","","","","","",""
"_02101130","A02101130","---- Secos o ahumados","",7,"021011","","","","","",""
"02101131","A02101131","----- Jamones y trozos de jamón","",8,"021011","","","","","",""
"02101139","A02101139","----- Paletas y trozos de paleta","",8,"021011","","","","","",""
"02101190","A02101190","--- Los demás","",6,"021011","","","","","",""
"021012","A021012","-- Tocino entreverado de panza (panceta) y sus trozos","",5,"021012","","","","","",""
"_02101210","A02101210","--- De la especie porcina doméstica","",6,"021012","","","","","",""
"02101211","A02101211","---- Salados o en salmuera","",7,"021012","","","","","",""
"02101219","A02101219","---- Secos o ahumados","",7,"021012","","","","","",""
"02101290","A02101290","--- Los demás","",6,"021012","","","","","",""
"021019","A021019","-- Las demás","",5,"021019","","","","","",""
"_0210190","A0210190","--- De la especie porcina doméstica","",6,"021019","","","","","",""
"_02101910","A02101910","---- Salados o en salmuera","",7,"021019","","","","","",""
"02101910","A02101910","----- Medias canales de tipo «bacon» o tres cuartos delanteros","",8,"021019","","","","","",""
"02101920","A02101920","----- Tres cuartos traseros o centros","",8,"021019","","","","","",""
"02101930","A02101930","----- Partes delanteras y trozos de partes delanteras","",8,"021019","","","","","",""
"02101940","A02101940","----- Chuleteros y trozos de chuletero","",8,"021019","","","","","",""
"02101950","A02101950","----- Los demás","",8,"021019","","","","","",""
"_0210196","A0210196","---- Secos o ahumados","",7,"021019","","","","","",""
"02101960","A02101960","----- Partes delanteras y trozos de partes delanteras","",8,"021019","","","","","",""
"02101970","A02101970","----- Chuleteros y partes de chuletero","",8,"021019","","","","","",""
"_02101980","A02101980","----- Los demás","",8,"021019","","","","","",""
"02101981","A02101981","------ Deshuesados","",9,"021019","","","","","",""
"02101989","A02101989","------ Los demás","",9,"021019","","","","","",""
"02101990","A02101990","--- Los demás","",6,"021019","","","","","",""
"021020","A021020","- Carne de la especie bovina","",4,"0210","","","","","",""
"02102010","A02102010","-- Sin deshuesar","",5,"021020","","","","","",""
"02102090","A02102090","-- Deshuesada","",5,"021020","","","","","",""
"_0210910","A0210910","- Los demás, incluidos la harina y polvo comestibles, de carne o de despojos","",4,"0210","","","","","",""
"02109100","A02109100","-- De primates","",5,"021091","","","","","",""
"021092","A021092","-- De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de manatíes y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","",5,"021092","","","","","",""
"02109210","A02109210","--- De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios)","",6,"021092","","","","","",""
"_02109290","A02109290","--- Los demás","",6,"021092","","","","","",""
"02109291","A02109291","---- Carne","",7,"021092","","","","","",""
"02109292","A02109292","---- Despojos","",7,"021092","","","","","",""
