"COD","CODINTEGR","TITULO","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA","NIVEL"
"421","421","Biología y Bioquímica","","42","Biología y bioquímica es el estudio de la estructura, función, reproducción, crecimiento, evolución y comportamiento de todos los organismos vivos. Comprende el estudio de los procesos químicos en los organismos vivos (bioquímica, ...). Este sector consta en gran medida de programas de educación superior. 
Comprende los programas educativos con los siguientes contenidos principales:

· Bioquímica, toxicología, farmacología
· Biología, genética
· Botánica, zoología","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de las ciencias ambientales, que es el estudio de la relación entre los organismos vivos y el medio ambiente (véase 422)","","SI","","",3
"422","422","Ciencias del medio ambiente","","42","Ciencias del medio ambiente es el estudio de las relaciones de los organismos vivos entre sí y con el medio ambiente. Este sector consiste en gran medida en educación superior.
Comprende los programas educativos con los siguientes contenidos principales:

· Ecología
· Ciencias medioambientales","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de la biología y la toxicología véase 421","","SI","","",3
"441","441","Física","","44","Física es el estudio de las propiedades e interacciones de la materia y la energía. Este sector consta en gran medida de programas de educación superior
Comprende los programas educativos con los siguientes contenidos principales:

· Física, óptica
· Astronomía, ciencias del espacio","","","SI","","",3
"443","443","Geología y metereología","","44","Geología es el estudio de la composición, estructura y evolución de la tierra, incluida la hidrosfera. Meteorología es el estudio de la atmósfera. Este sector consta en gran medida de programas de educación superior.
Comprende los programas educativos con los siguientes contenidos principales:

· Geología
· Meteorología
· Oceanografía, sismología
· Geografía física","","","SI","","",3
"461","461","Matemáticas","","46","Matemáticas es el estudio de los sistemas deductivos abstractos. Incluye el álgebra, aritmética, geometría, análisis real y complejo y matemáticas aplicadas. Este sector consta en gran medida de programas de educación superior.
Comprende los programas educativos con los siguientes contenidos principales:

· Estadística matemática
· Matemáticas, álgebra, geometría, análisis numérico","","","SI","","",3
"462","462","Estadística","","46","Estadística es el estudio de recoger, describir, estructurar y analizar datos numéricos. Se incluye el estudio de la teoría de la probabilidad y las ciencias actuariales. Este sector consta en gran medida de programas de educación superior. 
Comprende los programas educativos con los siguientes contenidos principales:

· Estadística, teoría de la probabilidad
· Ciencias actuariales","","","SI","","",3
"481","481","Ciencias de la computación","","48","Ciencias de la computación es el estudio del diseño y desarrollo de sistemas in-formáticos y de entornos informáticos. Incluye el estudio del diseño, mantenimiento e integración de aplicaciones de software. 
Comprende los programas educativos con los siguientes contenidos principales:

· Programación de ordenadores, lenguajes de programación
· Ciencias de la computación
· Diseño y análisis de sistemas informáticos
· Informática, sistemas operativos, administración de redes","No comprende los programas educativos con los siguientes contenidos principales:

· Ingeniería de ordenadores (hardware) ( véase 523)
- Los programas formativos sobre el uso de ordenadores y/o de aplicaciones de software (véase 482)","","SI","","",3
"482","482","Informática en el nivel de usuario","","48","Informática en el nivel de usuario es el estudio del uso de ordenadores y de software de ordenadores y de sus aplicaciones para diferentes propósitos. Estos pro-gramas son generalmente de corta duración.
Comprende los programas educativos con los siguientes contenidos principales:

· Uso de ordenador y utilización de Internet
· Formación sobre el manejo del software para cálculos (hojas de cálculo), para proceso de datos, para procesamiento de textos, para composición de publicaciones","","","SI","","",3
"521","521","Maquinaria y metalurgia","","52","Maquinaria y metalurgia (ingeniería, técnica y profesiones afines) es el estudio de la planificación, diseño, desarrollo, producción, mantenimiento y seguimiento de máquinas, plantas y sistemas mecánicos y productos metálicos. Incluye el diseño y mantenimiento de máquinas que producen bienes y servicios. Los programas en este sector se centran en las máquinas, sistemas mecánicos y productos metálicos. 
Comprende los programas educativos con los siguientes contenidos principales:

· Hidráulica
· Ingeniería mecánica, mecánica de precisión
· Fundición y moldeado de metales, procesos de laminación·
- Ingeniería metalúrgica, producción de acero
· Fabricación de herramientas, fabricación de maquinaria
- Soldadura","No comprende los programas educativos con los siguientes contenidos principales:

El estudio de la ingeniería y mecánica de los motores de vehículos (véase 525)","","SI","","",3
"522","522","Electricidad y energia","","52","Electricidad (ingeniería, técnica y profesiones afines) es el estudio de la instalación, mantenimiento, reparación y diagnóstico de fallos en el sistema eléctrico, y equipamiento en los hogares y en establecimientos comerciales e industriales. Se incluye la instalación y mantenimiento de tendido eléctrico y tuberías eléctricas para la distribución de electricidad. Energía es el estudio de la generación de energía.
Comprende los programas educativos con los siguientes contenidos principales:

· Ingeniería eléctrica, generación de potencia eléctrica
· Programas para sistemas eléctricos, reparación de sistemas eléctricos
· Programas energéticos
· Energía nuclear, hidráulica y termal
· Instalación y mantenimiento de líneas de alta tensión, distribución de gas
· Instalación, diagnóstico y reparación de sistemas de calefacción, aire acondicio-nado y equipos de refrigeración.","No comprende los programas educativos con los siguientes contenidos principales:

· El estudio de la electricidad en vehículos (véase 525)","","SI","","",3
