"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"0610","0610","Tecnologías de la información y las comunicaciones (TIC), sin sector detallado indicado","",3,"061","","","","","","AYUDACOD_CNEDF14",""
"0611","0611","Uso de ordenadores","",3,"061","Uso de ordenadores es el estudio del uso de ordenadores, del software de los ordenadores y de sus aplicaciones para diferentes propósitos. Estos programas son generalmente de corta duración.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Uso de ordenador y utilización de Internet
- 	Formación sobre el manejo del software para cálculos (hojas de cálculo), para proceso de datos, para procesamiento de textos, para composición de publicaciones","","","SI","","AYUDACOD_CNEDF14",""
"0612","0612","Diseño y administración de bases de datos y redes","",3,"061","0612 Diseño y administración de bases de datos y redes
Diseño y administración de bases de datos y redes es el estudio del diseño, mantenimiento e integración de aplicaciones de software. Se incluyen las aplicaciones informáticas multimedia.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Aplicaciones informáticas multimedia
- 	Diseño de páginas web
- 	Diseño y administración de redes informáticas
- 	Instalación y mantenimiento de redes informáticas
- 	Administración de bases de datos.
- 	Administración y seguridad en las TIC","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas formativos sobre el uso de ordenadores y/o de aplicaciones de software (véase 0611)","","SI","","AYUDACOD_CNEDF14",""
"0613","0613","Desarrollo y análisis de software y aplicaciones","",3,"061","Desarrollo y análisis de software y aplicaciones es el estudio del diseño y desarrollo de sistemas informáticos y de entornos informáticos.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Programación de ordenadores, lenguajes de programación
- 	Ciencias de la computación
- 	Diseño y análisis de sistemas informáticos
- Informática, sistemas operativos","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Ingeniería de ordenadores (hardware) ( véase 0714)
- 	Diseño de aplicaciones informáticas (véase 0612)","","SI","","AYUDACOD_CNEDF14",""
"0619","0619","Tecnologías de la información y las comunicaciones (TIC); sectores no clasificados en otra parte","",3,"061","Se clasifican aquí lo programas y certificaciones de tecnologías de la información y las comunicaciones (TIC) cuyo sector detallado predominante no está clasificado en otra parte.  
 
Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Inteligencia arficial","","","SI","","AYUDACOD_CNEDF14",""
"068","068","Tecnologías de la información y las comunicaciones (TIC), sin sector detallado predominante","",2,"06","","","","","","AYUDACOD_CNEDF14",""
"0688","0688","Tecnologías de la información y las comunicaciones (TIC), sin sector detallado predominante","",3,"068","Se clasifican aquí lo programas y certificaciones de tecnologías de la información y las comunicaciones (TIC) en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"07","07","Mecánica, electrónica y otra formación técnica; industria y construcción","",1,"","","","","","","AYUDACOD_CNEDF14",""
"070","070","Mecánica, electrónica y otra formación técnica; industria y construcción; sin sector específico indicado","",2,"07","","","","","","AYUDACOD_CNEDF14",""
"0700","0700","Mecánica, electrónica y otra formación técnica; industria y construcción; sin sector específico indicado","",3,"070","","","","","","AYUDACOD_CNEDF14",""
