"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE"
"0","0","Ocupaciones militares","",1,"","","","","","","AYUDACOD_CNO11"
"Q","0Q","Ocupaciones militares","",2,"0","","","","","","AYUDACOD_CNO11"
"00","0Q00","Ocupaciones militares","",3,"Q","","","","","","AYUDACOD_CNO11"
"001","0Q001","Oficiales y suboficiales de las fuerzas armadas","",4,"00","","","","","","AYUDACOD_CNO11"
"0011","0Q0011","Oficiales de las fuerzas armadas","",5,"001","Los oficiales de las fuerzas armadas proporcionan liderazgo y gestión a las unidades de organización en las fuerzas armadas y/o realizan tareas similares a aquellas que cumplen una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a todos los miembros de las fuerzas armadas con el rango de alférez (o equivalente) o superior.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Capitanes generales
- Almirantes
- Generales del aire
- Tenientes generales
- Generales de brigada
- Coroneles
- Comandantes
- Capitanes
- Tenientes
- Alféreces
- Capitanes de navío
- Alféreces de fragata","Ocupaciones afines no incluidas en este grupo primario:

- Oficiales de la guardia civil, 2623
- Inspectores de aduanas, 2623
- Generales de la Guardia Civil, 2623","","SI","","AYUDACOD_CNO11"
"0012","0Q0012","Suboficiales de las fuerzas armadas","",5,"001","Los suboficiales de las fuerzas armadas hacen cumplir la disciplina militar y supervisan las actividades de los empleados en ocupaciones de las fuerzas armadas, otros rangos, y/o realizan tareas similares a aquellas que cumplen una variedad de ocupaciones civiles fuera de las fuerzas armadas. Este grupo incluye a miembros de las fuerzas armadas de rangos tales como sargento, suboficial y sargento mayor.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Brigadas
- Sargentos","Ocupaciones afines no incluidas en este grupo primario:

- Suboficiales de la Guardia Civil, 3632","","SI","","AYUDACOD_CNO11"
"002","0Q002","Tropa y marinería de las fuerzas armadas","",4,"00","","","","","","AYUDACOD_CNO11"
"0020","0Q0020","Tropa y marinería de las fuerzas armadas","",5,"002","La tropa y marinería de las fuerzas armadas incluye todos los miembros conscriptos y no conscriptos de las fuerzas armadas excepto oficiales y suboficiales. Realizan tareas militares específicas y/o realizan tareas similares a aquellas que cumplen una variedad de ocupaciones civiles fuera de las fuerzas armadas. 

Ejemplos de ocupaciones incluidas en este grupo primario:

- Cabos
- Soldados","Ocupaciones afines no incluidas en este grupo primario:

- Agentes de la Guardia Civil, 5910
- Policías nacionales, 5921
- Policías autonómicos, 5922
- Policías municipales, 5923","","SI","","AYUDACOD_CNO11"
"1","1","Directores y gerentes","",1,"","","","","","","AYUDACOD_CNO11"
"A","1A","Directores y gerentes","",2,"1","","","","","","AYUDACOD_CNO11"
"11","1A11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos","",3,"A","","","","","","AYUDACOD_CNO11"
"111","1A111","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social","",4,"11","","","","","","AYUDACOD_CNO11"
"1111","1A1111","Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo","",5,"111","Los miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo definen, formulan y orientan la política del gobierno nacional, regional, provincial o municipal, así como de los organismos gubernamentales internacionales, y elaboran, ratifican, modifican o derogan leyes y reglamentos. Se incluyen en ellos miembros electos y no electos de parlamentos, concejos y gobiernos.

Entre sus tareas se incluyen:

- presidir los trabajos de los cuerpos legislativos y de los concejos deliberantes del gobierno y de las asambleas legislativas de la nación, región, provincia o municipio, y participar en dichos trabajos;
- definir, formular y orientar la política del gobierno nacional, regional, provincial o municipal;
- elaborar, ratificar, modificar o derogar leyes y reglamentos dentro de un marco legislativo o constitucional;
- integrar concejos deliberantes de la Administración Pública o comisiones oficiales;
- examinar cuestiones de interés para el público y defender los intereses del electorado al que representan;
- asistir a actos y reuniones para prestar servicios a la comunidad, captar la opinión pública y facilitar información sobre los planes de la Administración Pública;
- negociar con otros miembros del poder legislativo y representantes de grupos de interés social para conciliar intereses opuestos y establecer políticas y acuerdos;
- dirigir, en su calidad de miembros del gobierno, a los administradores y a los funcionarios de los departamentos ministeriales y de los órganos que de ellos dependen en cuanto a la interpretación y aplicación de la política del gobierno.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Presidentes del Gobierno
- Ministros del gobierno
- Diputados al Parlamento
- Secretarios de Estado
- Senadores
- Miembros de los órganos de gobierno de las CC.AA.
- Miembros de las asambleas legislativas de las CC.AA.
- Concejales
- Alcaldes
- Presidentes de Diputación provincial, Diputación Foral del País Vasco, Cabildo insular o Consejo insular
- Diputados de Diputación provincial, Diputación Foral del País Vasco, Cabildo insular o Consejo insular
- Miembros del Consejo General del Poder Judicial","","","SI","","AYUDACOD_CNO11"
"1112","1A1112","Personal directivo de la Administración Pública","",5,"111","El personal directivo de la Administración Pública asesora a ésta en los asuntos políticos, vigila la interpretación y aplicación de la política pública y de la legislación por los órganos públicos; actúa en nombre y representación del país en el extranjero o desempeña tareas similares en organizaciones intergubernamentales. Planifica, organiza, orienta, controla y evalúa las actividades generales de los departamentos, órganos, agencias o comisiones del gobierno nacional o de los gobiernos de la región o de la provincia o colectividad local, de conformidad con la legislación y las políticas del gobierno o de los órganos legislativos.

Nota: Los empleados o funcionarios de las Administraciones Públicas que gestionan una empresa pública o un organismo análogo donde los empleados públicos desempeñan tareas semejantes a las ejercidas por los dirigentes de las empresas descritas en el grupo primario 1120, Directores generales y presidentes ejecutivos, se clasificarán en dicho grupo.
Se considerará una empresa pública a cualquier empresa en la que los poderes públicos puedan ejercer, directa o indirectamente una influencia dominante en razón de la propiedad, de la participación financiera, o de las normas que la rigen. A efectos prácticos se considera que la empresa es pública: a) cuando la participación efectiva de los poderes públicos en el capital de empresa supera el 50%; b) cuando las decisiones de una empresa dependen fundamentalmente de los poderes públicos, aunque no esté mayoritariamente participada por éstos.
Por poderes públicos se entienden las Administraciones Públicas (General del Estado, Autonómica y Local), la administración de la Seguridad Social y otros Organismos Públicos, como el INI y el INH.

Entre sus tareas se incluyen:

- asesorar en los asuntos políticos a la administración pública y al órgano legislativo nacional, regional, provincial o municipal;
- asesorar en la preparación de los presupuestos públicos, así como de las leyes y reglamentos, incluidas sus enmiendas;
- establecer objetivos para los órganos públicos de conformidad con la legislación y la política de la administración pública;
- elaborar o aprobar y evaluar programas y procedimientos para la aplicación de las políticas públicas junto con la propia administración pública o en consulta con ella;
- recomendar, examinar, evaluar y aprobar documentos, notas e informes presentados por otros directivos de la administración pública de nivel medio o superior;
- velar por la elaboración y aplicación de sistemas y procedimientos adecuados para la realización del control presupuestario;
- coordinar las actividades con los demás directivos y funcionarios de la administración pública;
- presentar a comisiones legislativas o de la administración pública políticas, programas o presupuestos;
- controlar la interpretación y aplicación de la política pública y de la legislación por los órganos públicos.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Embajadores
- Cónsules generales
- Subsecretarios de Estado
- Directores de la función pública","","","SI","","AYUDACOD_CNO11"
"1113","1A1113","Directores de organizaciones de interés social","",5,"111","Los directores de organizaciones de interés social definen, formulan y orientan la política de estas organizaciones, tales como partidos políticos, sindicatos, organizaciones de empleadores, asociaciones industriales, organizaciones humanitarias o de beneficencia y asociaciones deportivas, representan a las organizaciones y actúan en su nombre.

Entre sus tareas se incluyen:

- definir y formular la política, los estatutos y reglamentos de la organización;
- planificar, dirigir y coordinar el funcionamiento general de la organización;
- examinar las operaciones y resultados de la organización e informar al consejo de dirección y a los órganos directivos, a los miembros de la organización y a las entidades que aporten financiación;
- realizar negociaciones en nombre de la organización, de sus miembros y de los grupos relevantes de interés social;
- defender los intereses de la organización y de sus miembros ante los órganos legislativos, la administración pública o el público en general;
- planificar, organizar y orientar las actividades de los órganos encargados de aplicar las políticas, estatutos y reglamentos de la organización;
- velar por la elaboración y aplicación de sistemas y procedimientos adecuados para la realización del control presupuestario;
- supervisar y evaluar el funcionamiento de la organización o empresa a tenor de los objetivos y políticas establecidos;
- representar a la organización en actos oficiales y reuniones de órganos directivos, en negociaciones y en convenciones, audiencias públicas y foros.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Dirigentes, partido político
- Dirigentes, organización empresarial
- Dirigentes, sindicato de trabajadores
- Dirigentes, organización humanitaria
- Dirigentes, fundación","","","SI","","AYUDACOD_CNO11"
"112","1A112","Directores generales y presidentes ejecutivos","",4,"11","","","","","","AYUDACOD_CNO11"
"1120","1A1120","Directores generales y presidentes ejecutivos","",5,"112","Los directores generales y presidentes ejecutivos elaboran y examinan las políticas y planifican, orientan, coordinan y evalúan las actividades generales de las empresas u organizaciones (excepto las organizaciones de interés social y los órganos públicos) con la asistencia de otros directivos, siguiendo, en general, la orientación impartida por el consejo de dirección u otro órgano directivo, ante quien son responsables de los resultados obtenidos y de las actividades realizadas.

Nota: Los directores generales y presidentes ejecutivos y los demás altos directivos que coordinan y supervisan las actividades de los directores subordinados responsables de una variada gama de tareas funcionales deben incluirse en el grupo primario 1120, Directores generales y presidentes ejecutivos. Los directores responsables de funciones especializadas en una zona geográfica concreta están excluidos de este grupo primario. Por ejemplo, los directores regionales de ventas están clasificados en el grupo primario 1221, Directores comerciales y de ventas.
Los puestos de trabajo cuya principal función es participar en el consejo de dirección de una o más empresas u organizaciones están incluidos en el grupo primario 1120, Directores generales y presidentes ejecutivos. Los gerentes generales de empresas públicas están incluidos en el grupo primario 1120, Directores generales y presidentes ejecutivos.

Entre sus tareas se incluyen:

- planificar, orientar y coordinar el funcionamiento general de la empresa u organización;
- examinar las actividades y resultados de la empresa u organización y comunicar esta información al consejo de dirección o a los órganos directivos;
- establecer objetivos, estrategias, políticas y programas para la empresa u organización;
- asumir el liderazgo general y la gestión de la empresa u organización;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- autorizar los recursos materiales, humanos y financieros para la ejecución de las políticas y programas de la organización;
- supervisar y evaluar el funcionamiento de la organización o empresa a tenor de los objetivos y políticas establecidos;
- consultar con el personal de alto nivel subordinado y examinar sus recomendaciones e informes;
- representar a la organización en actos oficiales y reuniones de órganos directivos, en negociaciones y en convenciones, seminarios, audiencias públicas y foros;
- seleccionar al personal de alto nivel o aprobar su selección;
- velar por que la organización cumpla las leyes y reglamentos en vigor.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores generales, empresa privada
- Directores generales, empresa pública
- Presidentes ejecutivos
- Rectores de universidades","","","SI","","AYUDACOD_CNO11"
"12","1A12","Directores de departamentos administrativos y comerciales","",3,"A","","","","","","AYUDACOD_CNO11"
"121","1A121","Directores de departamentos administrativos","",4,"12","","","","","","AYUDACOD_CNO11"
"1211","1A1211","Directores financieros","",5,"121","Los directores financieros planifican, dirigen y coordinan las operaciones financieras de una empresa u organización en consulta con el consejo de dirección y con los directores de otros departamentos o de otras empresas que presten servicios financieros a esta empresa u organización.

Entre sus tareas se incluyen:

- planificar, dirigir y coordinar las operaciones financieras de la empresa u organización;
- evaluar la situación financiera de la empresa u organización, preparar los presupuestos y controlar las operaciones financieras;
- consultar con el gerente general y con los directores de otros departamentos;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- planificar y dirigir el trabajo diario;
- controlar la selección, formación y rendimiento del personal;
- representar a la empresa u organización en las relaciones con entidades externas.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores financieros
- Directores de departamentos de contabilidad
- Directores de departamentos de costes
- Directores de departamentos de presupuestos","Ocupaciones afines no incluidas en este grupo primario:

- Gerentes de sucursales de servicios financieros, 1327
- Especialistas en contabilidad, 2611","","SI","","AYUDACOD_CNO11"
"1212","1A1212","Directores de recursos humanos","",5,"121","Los directores de recursos humanos planifican, dirigen y coordinan políticas relativas al personal, a las relaciones laborales y a las actividades de salud y seguridad en el trabajo de una empresa u organización, o de empresas que presten servicios de recursos humanos a otras empresas u organizaciones.

Entre sus tareas se incluyen:

- planificar, dirigir y coordinar las actividades, políticas y prácticas de una empresa u organización en todo lo relativo al personal y a las relaciones laborales;
- planificar y organizar los procedimientos destinados a la contratación, formación, promoción, traslados y despidos del personal;
- planificar y organizar las negociaciones sobre fijación de la escala y los niveles salariales y sobre la consulta a los trabajadores sobre las condiciones de empleo;
- controlar los programas y actividades de salud y seguridad y otras cuestiones conexas;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- controlar la elaboración y aplicación de sistemas de información de gestión;
- velar por el cumplimiento de las normas y de la legislación sobre los derechos de los trabajadores, la salud y seguridad, la igualdad de oportunidades y cuestiones conexas;
- controlar la selección, formación y rendimiento del personal de toda la empresa u organización;
- consultar con la alta dirección y con los directores de otros departamentos;
- representar a la empresa u organización en las relaciones con entidades externas.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de departamentos de recursos humanos
- Directores de departamentos de relaciones laborales
- Directores de selección de personal
- Directores de contratación
- Directores de formación de personal","","","SI","","AYUDACOD_CNO11"
"1219","1A1219","Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes","",5,"121","En este grupo primario se incluyen los directores de políticas y planificación los cuales planifican, organizan, dirigen y coordinan actividades de planificación estratégica y de asesoramiento sobre políticas dentro de la administración pública o para organizaciones no gubernamentales o entidades del sector privado, o gestionan las actividades de empresas que prestan servicios de planificación estratégica y de asesoramiento sobre políticas. También se incluyen los directores de departamentos administrativos y de servicios no clasificados bajo otros epígrafes del subgrupo 121, Directores de departamentos administrativos. Se incluyen, por ejemplo, ocupaciones como las de director de servicios administrativos, director de instalaciones o director de servicios de limpieza ya sean directores de departamentos de grandes empresas u organizaciones o directores de empresas que proveen dichos servicios a otras empresas u organizaciones.

Entre sus tareas se incluyen:

- elaborar, aplicar y supervisar planes, programas, políticas, procesos, sistemas y procedimientos estratégicos para alcanzar fines u objetivos o cumplir normas de trabajo;
- elaborar, dirigir y administrar estudios y análisis de políticas y participar en ellos;
- coordinar la aplicación de políticas y prácticas;
- establecer medidas de la actividad y mediciones de la responsabilidad;
- planificar y dirigir el trabajo diario;
- dirigir y gestionar las actividades del personal de elaboración de políticas y de planificación estratégica;
- controlar la selección, formación y rendimiento del personal;
- representar a la empresa u organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros;
- realizar tareas de asistencia, estudio y asesoramiento en los ámbitos administrativo, operativo y de planificación estratégica a la alta dirección sobre cuestiones como la gestión de las instalaciones de la empresa y de los servicios administrativos;
- desarrollar y gestionar los recursos administrativos y físicos de la organización;
- elaborar y aplicar declaraciones y directrices en materias administrativas y de procedimiento para uso por el personal de la organización;
- analizar cuestiones e iniciativas complejas en relación con la gestión de los recursos que afecten a la organización y preparar los correspondientes informes, correspondencia y documentos;
- prestar información y asistencia para la preparación de informes financieros y de presupuestos;
- dirigir, gestionar y formar al personal administrativo para garantizar el desarrollo sin problemas de las actividades y el suministro de información de forma precisa y oportuna;
- representar a la empresa u organización en negociaciones y en convenciones, seminarios, audiencias públicas y foros;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- planificar y dirigir el trabajo diario;
- controlar la selección, formación y rendimiento del personal;
- consultar con directores ejecutivos y directores de otros departamentos.



Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de planificación corporativa
- Directores de instalaciones
- Directores de departamentos de control de calidad
- Directores de servicios de limpieza
- Subdirectores de la Administración Pública n.c.o.p.","","","SI","","AYUDACOD_CNO11"
"122","1A122","Directores comerciales, de publicidad, relaciones públicas y de investigación y desarrollo","",4,"12","","","","","","AYUDACOD_CNO11"
"1221","1A1221","Directores comerciales y de ventas","",5,"122","Los directores comerciales y de ventas planifican, dirigen y coordinan las actividades de ventas y comercialización de una empresa u organización, o de empresas que prestan servicios de ventas y comercialización a otras empresas u organizaciones.

Entre sus tareas se incluyen:

- planificar y organizar programas especiales de venta y comercialización basados en el estado de las ventas y la evaluación del mercado;
- fijar las listas de precios, los porcentajes de descuento y los plazos de entrega, los presupuestos para campañas de promoción de ventas, los métodos de venta, y los incentivos y campañas especiales;
- establecer y dirigir los procedimientos operativos y administrativos relativos a las actividades de ventas y comercialización;
- dirigir y gestionar las actividades del personal de ventas y comercialización;
- planificar y dirigir el trabajo diario;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- controlar la selección, formación y rendimiento del personal;
- representar a la empresa u organización en convenciones de ventas y comercialización, ferias de muestras y otros foros.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de comercialización
- Directores de comercio exterior
- Directores de ventas
- Directores de servicio postventa
- Directores de departamentos de estudios de mercado
- Directores de marketing","","","SI","","AYUDACOD_CNO11"
"1222","1A1222","Directores de publicidad y relaciones públicas","",5,"122","Los directores de publicidad y relaciones públicas planifican, dirigen y coordinan las actividades de publicidad, relaciones públicas e información al público de una empresa u organización, o de empresas que prestan servicios relacionados a otras empresas u organizaciones.

Entre sus tareas se incluyen:

- planificar dirigir y coordinar las actividades de publicidad y relaciones públicas de la empresa u organización;
- negociar contratos de publicidad con clientes o con periódicos, emisoras de radio y televisión, organizaciones deportivas y culturales y agencias de publicidad;
- planificar y gestionar programas de información destinados a las autoridades, los medios de comunicación de masas y al público en general sobre los planes, logros y opiniones de la empresa u organización;
- dirigir y gestionar las actividades del personal de publicidad y relaciones públicas;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- planificar y dirigir el trabajo diario;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de publicidad
- Directores de relaciones públicas
- Directores de gabinetes de prensa","","","SI","","AYUDACOD_CNO11"
"1223","1A1223","Directores de investigación y desarrollo","",5,"122","Los directores de investigación y desarrollo planifican, dirigen y coordinan las actividades de investigación y desarrollo de una empresa u organización o de empresas que prestan servicios relacionados a otras empresas u organizaciones.

Entre sus tareas se incluyen:

- planificar, dirigir y coordinar las actividades de investigación y desarrollo, tanto las de la propia empresa u organización como las confiadas por otras organizaciones de investigación, para crear procedimientos, productos, conocimientos o modos de utilización de materiales nuevos o perfeccionados;
- planificar el programa general de investigación y desarrollo de la empresa u organización, definir las metas de los proyectos y fijar sus presupuestos;
- dirigir y gestionar las actividades del personal de investigación y desarrollo;
- establecer y gestionar presupuestos, controlar los gastos y asegurar la utilización eficiente de los recursos;
- establecer y dirigir los procedimientos operativos y administrativos;
- planificar y dirigir el trabajo diario;
- controlar la selección, formación y rendimiento del personal;
- representar a la empresa u organización en convenciones, seminarios o conferencias.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de desarrollo de productos
- Directores de departamentos de investigación y desarrollo (I+D)","","","SI","","AYUDACOD_CNO11"
"13","1A13","Directores de producción y operaciones","",3,"A","","","","","","AYUDACOD_CNO11"
"131","1A131","Directores de producción de explotaciones agropecuarias, forestales y pesqueras, y de industrias manufactureras, de minería, construcción y distribución","",4,"13","","","","","","AYUDACOD_CNO11"
"1311","1A1311","Directores de producción de explotaciones agropecuarias y forestales","",5,"131","Los directores de producción de explotaciones agropecuarias y forestales planifican, dirigen y coordinan la producción de operaciones a gran escala agrícola, hortícola y forestal, tales como plantaciones, grandes haciendas, granjas colectivas y cooperativas agrícolas para cultivar y cosechar cultivos, o para alimentar y criar ganado.

Entre sus tareas se incluyen:

- efectuar el seguimiento de la actividad del mercado de la agricultura y la silvicultura y planificar la producción para satisfacer los requerimientos del contrato y la demanda del mercado;
- establecer y gestionar presupuestos, supervisar el rendimiento y los costos de producción, registrar información relativa a la gestión agraria, y preparar informes financieros y operativos;
- acordar con los compradores los términos de las ventas de cultivos y ganado;
- contratar con agricultores o propietarios independientes la producción de cultivos y el ganado, o para gestionar la producción;
- planificar el tipo, intensidad y secuencia de las operaciones agrícolas (por ejemplo, determinar el mejor momento para plantar, pulverizar y cosechar);
- analizar el suelo para determinar los tipos y cantidades de fertilizantes necesarios para maximizar la producción;
- comprar maquinaria, equipamiento y suministros tales como tractores, semillas, fertilizantes y productos químicos;
- identificar y controlar toxinas ambientales, malas hierbas, plagas y enfermedades en la agricultura y los bosques;
- organizar operaciones agrícolas tales como el mantenimiento de edificios, sistemas de abastecimiento de agua y equipamiento;
- dirigir y coordinar actividades tales como la plantación, el riego, la aplicación de productos químicos, la cosecha y su clasificación;
- inspeccionar plantaciones y campos para determinar fechas de maduración de los cultivos, o para estimar el daño potencial sobre cultivos causados por el clima;
- supervisar la selección, formación y desempeño de los trabajadores agrícolas y forestales y de los contratistas.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de silvicultura
- Directores de explotaciones agrícolas
- Directores de explotaciones ganaderas","Ocupaciones afines no incluidas en este grupo primario:

- Agricultores propietarios, 611","","SI","","AYUDACOD_CNO11"
"1312","1A1312","Directores de producción de explotaciones pesqueras y acuícolas","",5,"131","Los directores de producción de explotaciones pesqueras y acuícolas planifican, dirigen y coordinan la producción en gran escala de piscicultura y operaciones de pesca de captura y de cosecha de peces y mariscos, y la cría de peces, mariscos u otras formas de vida acuática, tales como cultivos para fines alimenticios o para su posterior liberación en agua dulce o salada.

Entre sus tareas se incluyen:

- efectuar el seguimiento del mercado de piscicultura y pesca y planificar la producción y la actividad pesquera para satisfacer los requerimientos contractuales y la demanda del mercado;
- establecer y gestionar presupuestos, supervisar el rendimiento y costos de la producción, registrar informaciones tales como prácticas de gestión pesquera, y preparar informes financieros y operativos;
- acordar con los compradores los términos de venta de productos y capturas;
- contratar con los patrones de pesca o los propietarios de los buques y de las granjas de piscicultura las operaciones de pesca y piscicultura, o para gestionar la producción;
- realizar y organizar exámenes de existencias de piscicultura o de pesca con el fin de identificar enfermedades o parásitos;
- elaborar y coordinar actividades para mejorar la incubación de peces y sus tasas de crecimiento, y para prevenir enfermedades en salas de incubación;
- efectuar el seguimiento de los entornos medioambientales para mantener o mejorar las condiciones de la vida acuática;
- dirigir y supervisar la captura y las zonas de desove de peces, la incubación de huevos y la cría de alevines, aplicando el conocimiento de gestión y técnicas de cultivo de peces;
- coordinar la selección y mantenimiento de las existencias de crías;
- dirigir y supervisar la transferencia de peces maduros a lagos, estanques, arroyos, o depósitos comerciales;
- comprar maquinaria, equipamiento y suministros tales como barcos y redes de pesca;
- organizar operaciones tales como el mantenimiento de los buques, embarcaciones y equipos;
- supervisar la selección, formación y desempeño de trabajadores y contratistas de piscicultura o de pesca.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Directores de explotaciones acuícolas
- Directores de piscifactorías
- Directores de empresas pesqueras","Ocupaciones afines no incluidas en este grupo primario:

- Directores generales de compañías pesqueras, 1120
- Piscicultores, 6421
- Piscicultores propietarios, 6421
- Cultivadores de ostras, 6421
- Patrones de buques en aguas dulces y aguas costeras, 6422
- Patrones de pesca (altura), 6423","","SI","","AYUDACOD_CNO11"
"1313","1A1313","Directores de industrias manufactureras","",5,"131","Los directores de industrias manufactureras planifican, dirigen y coordinan las actividades relativas a la producción de bienes, la producción y la distribución de electricidad, gas y agua y el tratamiento y eliminación de residuos así como la valorización. Se recogen en este grupo tanto los directores de departamentos de producción de grandes empresas como los directores de pequeñas empresas manufactureras.

Entre sus tareas se incluyen:

- definir, aplicar y supervisar estrategias, políticas y planes de producción;
- planificar detalles de las actividades de producción en términos de calidad y cantidad del producto, costes, tiempos y necesidades de mano de obra;
- controlar el funcionamiento de la planta de producción y de los procedimientos de calidad mediante la planificación del mantenimiento, la indicación de las horas de funcionamiento y el suministro de piezas y utillaje;
- establecer y gestionar presupuestos, controlar el producto y los costes de producción, y ajustar los procesos y recursos para minimizar los costes;
- consultar a otros directores sobre cuestiones de producción e informarles de ellas;
- controlar la adquisición e instalación de nuevas instalaciones y equipos;
- controlar la preparación de registros e informes de producción;
- coordinar el cumplimiento de los requisitos de salud y seguridad en el trabajo;
- identificar oportunidades de negocio y determinar los productos que deben fabricarse;
- estudiar y aplicar los requisitos legales y reglamentarios que afectan a las operaciones de fabricación y al medio ambiente;
- controlar la fijación de cuotas para la fabricación de bienes especializados y celebrar contratos con clientes y proveedores;
- controlar la selección, formación y rendimiento del personal.

Ejemplos de ocupaciones incluidas en este grupo primario:

- Fabricantes
- Directores de industrias manufactureras
- Directores de producción y operaciones (industrias manufactureras)
- Directores de empresas o departamentos de tratamiento y eliminación de residuos
- Directores de empresas o departamentos de valorización de residuos","Ocupaciones afines no incluidas en este grupo primario:

- Supervisores de industrias manufactureras, 3209","","SI","","AYUDACOD_CNO11"
