"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE"
"01","01","ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS.","",1,"","Nota:
La letra K, L, U, m3, Kwh, Cap o Gr situada a la derecha de los códigos indica si el bien requiere o no cantidad física y las unidades en que se viene expresando dicha cantidad: 
K = KILOS
L = LITROS
U = UNIDADES
m3 = METROS CÚBICOS
Kwh = KILOWATIO POR HORA
Cap = CÁPSULAS
Gr = GRAMOS","","","SI","","AYUDACOD_COICOP16"
"011","011","PRODUCTOS ALIMENTICIOS","",2,"01","Productos alimenticios generalmente comprados para ser consumidos en el domicilio.","Excluye:
- 	Productos alimenticios que se venden para su consumo inmediato fuera del hogar por los hoteles, restaurantes, cafeterías, bares, quioscos, vendedores ambulantes, distribuidores automáticos, etc. (11.1.1).
- 	Platos preparados en restaurantes para su consumo fuera del local (comidas para llevar) (11.1.1).
- 	Platos preparados por contratistas de servicios de comedor  independientemente de que los recoja el cliente o éstos sean enviados a la casa del cliente (11.1.1).
- 	Productos que se venden específicamente como alimentos para animales domésticos (09.3.4).","","SI","","AYUDACOD_COICOP16"
"0111","0111","PAN Y CEREALES","",3,"011","","Excluye:
- 	Empanadas con cualquier relleno listas para consumir, hojaldritos salados y bollos preñaos (01.1.9.4).
- 	Maíz dulce (01.1.7.7).","","SI","","AYUDACOD_COICOP16"
"01111","01111","ARROZ","",4,"0111","- 	Todo tipo de arroz, de grano corto o de grano largo; arroz abrillantado, pulido o partido sin otra transformación.
- 	Arroz precocinado.
- 	Arroz preparado con carne, pescado, marisco o verduras (solo si no está listo para consumir y el arroz representa la parte más importante).","Excluye:
- 	El arroz con leche (01.1.4.6). 
- 	Harina de arroz (01.1.1.2). 
- 	El arroz preparado listo para consumir, vasitos de arroz tipo Brillante (01.1.9.4).
- 	La leche de arroz (01.1.9.5).
- 	Pastas hechas de arroz, fideos de arroz (01.1.1.6).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01112","01112","HARINAS Y OTROS CEREALES","",4,"0111","- 	Maíz de grano duro, trigo, cebada, avena, centeno y otros cereales en forma de grano, harina o sémola. Harina de arroz. 
- 	Gofio (Canarias). Mazorca maíz (no dulce).
- 	Preparados para rebozar.
- 	Harina de legumbres, como la harina de garbanzos y de almortas.
- 	Quinoa.","Excluye:
- 	Los cereales del desayuno (01.1.1.7).
- 	La malta, los almidones y féculas (01.1.1.8).
- 	La levadura (01.1.9.9).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01113","01113","PAN","",4,"0111","- 	Todo tipo de pan (integral o no) de trigo, centeno, maíz o cualquier otro cereal, rallado o no.
- 	Todo tipo de pan de molde (integral o no) de trigo, centeno, maíz o cualquier otro cereal.  
- 	Pan de hamburguesa, pan de perrito caliente.
- 	Pan de cualquier cereal, pan de especias.
- 	Pan de pita.
- 	Pan congelado.","Excluye:
- 	Pan ácimo, pan dietético (01.1.9.5).
- 	Pan tostado tipo biscote (01.1.1.4).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01114","01114","OTROS PRODUCTOS DE PANADERÍA","",4,"0111","- 	Galletas tipo María y otras galletas dulces o saladas, sueltas o envasadas. Galletas picadas para rebozar (pudiendo incluir ajo y perejil). Galletitas saladas. Galleta de jengibre.
- 	Barquillos, bollos, cocas dulces, bizcochos, magdalenas, torteles, suizos, ensaimadas, croissants, palmeras, lazos, cintas, bayonesas, phoskitos, pan de leche, medias-noches, fartón, donuts, monas de pascua, pestiños, rosquillas dulces, tortas sevillanas, barquillos, obleas dulces, pastas de té y similares.
- 	Gofres, crepes y pequeños panes azucarados tipo muffin, masas fritas como churros, porras, tejeringos, buñuelos¿ 
- 	Pasteles, tartas, brazo de gitano, yemas, cocos, tocinillos de cielo, roscón de reyes, tocino de cielo, quesada, tarta de manzana.
- 	Pan crujiente, pan tostado tipo biscote (por criterio de Eurostat). Migas y picatostes. Colines, rosquillas saladas, rosquilletas, picos y regañas.","Excluye:
- 	Empanadas con cualquier relleno listas para consumir y hojaldritos salados, bollos preñaos (01.1.9.4).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01115","01115","PIZZAS Y QUICHES ","",4,"0111","Nota: por criterio de Eurostat todo producto basado en quiches o pizzas va a esté código, incluyendo el cocinado, horneado o preparado en cualquier fase, es una excepción al código 01.1.9.4 Comidas preparadas.

- 	Quiches y pizzas completas, frescas y congeladas, con cualquier relleno.
- 	Cocas saladas.
- 	Roscas de jamón y queso.","Excluye:
- 	Empanadas con cualquier relleno listas para consumir, hojaldritos salados y bollos preñaos (01.1.9.4).
- 	La masa para empanadillas y las bases para pizzas (01.1.1.8).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01116","01116","PASTAS ALIMENTICIAS Y CUSCÚS ","",4,"0111","Nota: por criterio de Eurostat todo producto con pasta y/o el cuscús va a este código, incluyendo el cocinado, es una excepción al código 01.1.9.4 Comidas preparadas.
	
- 	Fideos y otras pastas para sopa (de letras, de estrellas, conchitas¿).
- 	Macarrones, espaguetis, cintas, tallarines y similares. 
- 	Pasta fresca y congelada para rellenar (canelones¿). 
- 	Pasta conteniendo carne, pescado, marisco, queso o verduras (raviolis, tortellini¿) y que necesita ser cocinada. 
- 	Ensaladas de pasta.
- 	Cuscús.
- 	Cuscús con carne, pescado, marisco, queso o verduras y que necesita ser cocinado.
- 	Cuscús o pasta comprada ya cocinada, como unos canelones, para el consumo directo que solo necesite calentar.
- 	Fideuá.
- 	Noodles, YATEKOMO, YAKISOBA (son fideos orientales de harina).
- 	Pastas hechas de legumbres y arroz. Fideos de arroz o soja.
- 	Ñoquis.","Excluye:
- 	La masa para empanadillas y las bases para pizzas (01.1.1.8).
- 	Pizzas y quiches (01.1.1.5).","K Bisemanal","SI","","AYUDACOD_COICOP16"
"01117","01117","CEREALES DE DESAYUNO  ","",4,"0111","- 	Preparados de cereales para el desayuno (copos de avena, copos de maíz, 	corn flakes, all-bran, muesli, con frutas deshidratadas, con frutos secos, con chocolate¿).
- 	Barritas de cereales con muesli, frutas, frutos secos, chocolate, etc.","Excluye:
- 	Barritas con proteínas, con fines dietéticos o sustitutivas de comidas (01.1.9.5).","K Bisemanal","SI","","AYUDACOD_COICOP16"
