"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"15912","1101","DA15912","C1101"," Licores, cremas y otras bebidas alcoholicas aromatizadas y o azucaradas.","","",""
"15920","1101","DA15920","C1101","Producción de alcohol rectificado.","","",""
"15931","1102","DA15931","C1102","Elaboración de espumosos.","","",""
"15932","1102","DA15932","C1102","Elaboración de vinos.","","",""
"15940","1103","DA15940","C1103","Elaboración de bebidas alcoholicas fermentadas, pero no destiladas, sidra, perada y otros vinos de frutas.
Elaboración de aguamiel y bebidas mezcladas con contenido alcohólico.","","",""
"15950","1104","DA15950","C1104","","","",""
"15960","1105","DA15960","C1105","","","",""
"15970","1106","DA15970","C1106","","","",""
"15981","1107","DA15981","C1107","Producción de aguas minerales y aguas embotelladas.","","",""
"15982","1107","DA15982","C1107","Bebidas no alcohólicas, incluido las azucaradas y/o aromatizadas.","","",""
"16000","1200","DA16000","C1200","","","",""
"17110","1310","DB17110","C1310","Preparación e hilado de fibras textiles; fabricación de hilados de tipo algodón (proceso algodonero).","","",""
"17120","1310","DB17120","C1310","Preparación de fibras de tipo lana para su cardado (proceso lanero).
Fabricación de hilados de tipo lana ( proceso lanero) con fibras de lana, artificiales, sintéticas o recuperadas.","","",""
"17130","1310","DB17130","C1310","Fabricación de hilados de tipo lana peinada (proceso lanero), con lana o fibras artificiales, sintéticas o recuperadas.
Preparación e hilado de fibras tipo lana semipeinada.","","",""
"17140","1310","DB17140","C1310","Espadado de lino.
Fabricacion de hilados tipo lino,.con lino o o fibras artificiales, sintéticas o recuperadas.","","",""
"17150","1310","DB17150","C1310","Desvanado, lavado y torcido cardado y peinado de seda.
Fabricación de hilados tipo seda.
Texturado, torsión, plegado, cableado o inmersión de filamentos sintéticos y artificiales.","","",""
"17160","1310","DB17160","C1310","Hilado y fabricacion de filamento o hilo para tejer o coser.","","",""
"17170","1310","DB17170","C1310","Preparación e hilado de fibras como yute y demas fibras duras.
Fabricación de hilo de papel.","","",""
