"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"3900","3900","E3900","E3900","",""," ",""
"4110","4110","F4110","F4110","",""," ",""
"4121","4120","F4121","F4120","",""," ",""
"4122","4120","F4122","F4120","",""," ",""
"4211","4211","F4211","F4211","",""," ",""
"4212","4212","F4212","F4212","",""," ",""
"4213","4213","F4213","F4213","",""," ",""
"4221","4221","F4221","F4221","",""," ",""
"4222","4222","F4222","F4222","",""," ",""
"4291","4291","F4291","F4291","",""," ",""
"4299","4299","F4299","F4299","",""," ",""
"4311","4311","F4311","F4311","",""," ",""
"4312","4312","F4312","F4312","",""," ",""
"4313","4313","F4313","F4313","",""," ",""
"4321","4321","F4321","F4321","",""," ",""
"4322","4322","F4322","F4322","",""," ",""
"4329","4329","F4329","F4329","",""," ",""
"4331","4331","F4331","F4331","",""," ",""
"4332","4332","F4332","F4332","",""," ",""
"4333","4333","F4333","F4333","",""," ",""
"4334","4334","F4334","F4334","",""," ",""
"4339","4339","F4339","F4339","",""," ",""
"4391","4391","F4391","F4391","",""," ",""
"4399","4399","F4399","F4399","",""," ",""
"4511","4511","G4511","G4511","",""," ",""
"4519","4519","G4519","G4519","",""," ",""
"4520","4520","G4520","G4520","",""," ",""
"4531","4531","G4531","G4531","",""," ",""
"4532","4532","G4532","G4532","",""," ",""
"4540","4540","G4540","G4540","",""," ",""
"4611","4611","G4611","G4611","",""," ",""
"4612","4612","G4612","G4612","",""," ",""
"4613","4613","G4613","G4613","",""," ",""
"4614","4614","G4614","G4614","",""," ",""
"4615","4615","G4615","G4615","",""," ",""
"4616","4616","G4616","G4616","",""," ",""
"4617","4617","G4617","G4617","",""," ",""
"4618","4618","G4618","G4618","",""," ",""
"4619","4619","G4619","G4619","",""," ",""
"4621","4621","G4621","G4621","",""," ",""
"4622","4622","G4622","G4622","",""," ",""
"4623","4623","G4623","G4623","",""," ",""
"4624","4624","G4624","G4624","",""," ",""
"4631","4631","G4631","G4631","",""," ",""
"4632","4632","G4632","G4632","",""," ",""
"4633","4633","G4633","G4633","",""," ",""
"4634","4634","G4634","G4634","",""," ",""
"4635","4635","G4635","G4635","",""," ",""
"4636","4636","G4636","G4636","",""," ",""
"4637","4637","G4637","G4637","",""," ",""
"4638","4638","G4638","G4638","",""," ",""
"4639","4639","G4639","G4639","",""," ",""
"4641","4641","G4641","G4641","",""," ",""
"4642","4642","G4642","G4642","",""," ",""
"4643","4643","G4643","G4643","",""," ",""
"4644","4644","G4644","G4644","",""," ",""
"4645","4645","G4645","G4645","",""," ",""
"4646","4646","G4646","G4646","",""," ",""
"4647","4647","G4647","G4647","",""," ",""
"4648","4648","G4648","G4648","",""," ",""
"4649","4649","G4649","G4649","",""," ",""
"4651","4651","G4651","G4651","",""," ",""
"4652","4652","G4652","G4652","",""," ",""
"4661","4661","G4661","G4661","",""," ",""
"4662","4662","G4662","G4662","",""," ",""
"4663","4663","G4663","G4663","",""," ",""
"4664","4664","G4664","G4664","",""," ",""
"4665","4665","G4665","G4665","",""," ",""
"4666","4666","G4666","G4666","",""," ",""
"4669","4669","G4669","G4669","",""," ",""
"4671","4671","G4671","G4671","",""," ",""
"4672","4672","G4672","G4672","",""," ",""
"4673","4673","G4673","G4673","",""," ",""
"4674","4674","G4674","G4674","",""," ",""
"4675","4675","G4675","G4675","",""," ",""
"4676","4676","G4676","G4676","",""," ",""
"4677","4677","G4677","G4677","",""," ",""
"4690","4690","G4690","G4690","",""," ",""
"4711","4711","G4711","G4711","",""," ",""
"4719","4719","G4719","G4719","",""," ",""
"4721","4721","G4721","G4721","",""," ",""
"4722","4722","G4722","G4722","",""," ",""
"4723","4723","G4723","G4723","",""," ",""
"4724","4724","G4724","G4724","",""," ",""
