"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"153","DA153","Frutas y hortalizas preparadas y en conserva","","4","15","","","","","",
"1531","DA1531","Patatas elaboradas y en conserva","","5","153","","","","","",
"15311","DA15311","Patatas elaboradas y en conserva","","6","1531","","","","","",
"153111","DA153111","Patatas congeladas","","7","15311","","","","","",
"153112","DA153112","Patatas en conserva","","7","15311","","","","","",
"15319","DA15319","Cocción y otros servicios de preparación para patatas y productos de patata","","6","1531","","","","","",
"153190","DA153190","Cocción y otros servicios de preparación para patatas y productos de patata","","7","15319","Esta subcategoría comprende:
¿   pelado, cocción y otros servicios de preparación para patatas y productos de patata","","","","",
"1532","DA1532","Jugos de frutas y hortalizas","","5","153","","","","","",
"15321","DA15321","Jugos de frutas y hortalizas","","6","1532","","","","","",
"153210","DA153210","Jugos de frutas y hortalizas","","7","15321","","","","","",
"15329","DA15329","Servicios industriales para jugos de frutas y hortalizas","","6","1532","","","","","",
"153299","DA153299","Servicios industriales para jugos de frutas y hortalizas","","7","15329","Esta subcategoría comprende:
¿   operaciones elementales en el proceso de producción de los productos mencionados, llevadas a cabo por un subcontratista con materiales propiedad del contratista o por cuenta de dicho contratista. El pago de estas operaciones se hace por el trabajo que representan y puede incluir el suministro de la materia prima necesaria para dicho trabajo.","","Esta subcategoría no comprende:
¿   mercancías de la misma gama, producidas en su totalidad por un subcontratista por cuenta de un tercero.","","",
"1533","DA1533","Conserva de frutas y hortalizas","","5","153","","","","","",
"15331","DA15331","Legumbres y hortalizas elaboradas y en conserva (excepto patatas)","","6","1533","","","","","",
"153311","DA153311","Legumbres y hortalizas congeladas","","7","15331","","","","","",
"153312","DA153312","Legumbres y hortalizas conservadas provisionalmente","","7","15331","","","","","",
"153313","DA153313","Legumbres secas","","7","15331","","","","","",
"153314","DA153314","Legumbres y hortalizas conservadas con medios distintos del vinagre o el ácido acético","","7","15331","","","","","",
"153315","DA153315","Legumbres y hortalizas conservadas en vinagre o ácido acético","","7","15331","","","","","",
"15332","DA15332","Frutas y frutos secos elaborados y en conserva","","6","1533","","","","","",
"153321","DA153321","Frutas y frutos secos congelados, sin cocer o cocidos","","7","15332","","","","","",
"153322","DA153322","Mermeladas, jaleas de frutas, purés y pastas de frutas o frutos de cáscara","","7","15332","","","","","",
"153323","DA153323","Nueces, cacahuetes tostados, salados o preparados de otra manera n.c.o.p.","","7","15332","","","","","",
"153324","DA153324","Frutas y frutos de cáscara conservados provisionalmente, pero no para su consumo inmediato","","7","15332","","","","","",
