"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"011380","A011380","Setas y trufas",6,"","01138","","Esta subcategoría no comprende:
- 	setas silvestres, incluídas trufas silvestres, véase 02.30.40","","SI","",
"01139","A01139","Hortalizas frescas n.c.o.p.",5,"","0113","","","","","",
"011390","A011390","Hortalizas frescas n.c.o.p.",6,"","01139","Esta subcategoría comprende:
- hinojo, cuando se utiliza como hortaliza,
- apio, excepto ""apionabo""
- otras hortalizas frescas, n.c.o..
Esta subcategoría comprende también:
- alfalfa, habas de soja y brotes de girasol comestibles
- brotes de soja","","","SI","",
"0114","A0114","Caña de azúcar",4,"","011","","","","","",
"01141","A01141","Caña de azúcar",5,"","0114","","","","","",
"011410","A011410","Caña de azúcar",6,"","01141","","","","","",
"0115","A0115","Tabaco sin elaborar",4,"","011","","","","","",
"01151","A01151","Tabaco sin elaborar",5,"","0115","","","","","",
"011510","A011510","Tabaco sin elaborar",6,"","01151","","Esta subcategoría no comprende:
- tabaco desvenado y resecado, véase 12.00.12","","SI","",
"0116","A0116","Plantas para fibras textiles",4,"","011","","","","","",
"01161","A01161","Plantas para fibras textiles",5,"","0116","","","","","",
"011611","A011611","Algodón, desmotado o sin desmotar",6,"","01161","Esta subcategoría comprende también:
- semillas de algodón","","","SI","",
"011612","A011612","Yute, kenaf y otras fibras textiles del líber, en bruto o enriados (excepto lino, cáñamo y ramio)",6,"","01161","","Esta subcategoría no comprende:
- lino, cáñamo y ramio, véase 01.16.19","","SI","",
"011619","A011619","Lino, cáñamo y plantas para fibras textiles en bruto n.c.o.p.",6,"","01161","","","","","",
"0119","A0119","Otros cultivos no perennes",4,"","011","","","","","",
"01191","A01191","Plantas forrajeras",5,"","0119","","","","","",
"011910","A011910","Plantas forrajeras",6,"","01191","Esta subcategoría comprende:
- colinabos, remolacha forrajera, raíces forrajeras, tréboles, alfalfa, pipirigallo, maíz para pienso y forraje y otras gramíneas, coles forrajeras y productos similares para forraje","","","SI","",
"01192","A01192","Flores cortadas y capullos; semillas de flores",5,"","0119","","","","","",
"011921","A011921","Flores cortadas y capullos",6,"","01192","Esta subcategoría comprende también:
- 	ramos, coronas, cestas, etc. de flores, arreglos con flores o capullos de flores (por ejemplo: ramilletes, ojales)
- ramas cortadas de árboles, arbustos y matorrales, si tienen flores o capullos de flores (por ejemplo: ramas de sauce con flores o capullos de flores, girasoles)","","","SI","",
"011922","A011922","Semillas de flores",6,"","01192","Esta subcategoría comprende también:
- semillas de guisante de olor (Lathyrus odoratus)","","","SI","",
"01193","A01193","Semillas de remolacha y de plantas forrajeras; otras materias primas vegetales",5,"","0119","","","","","",
"011931","A011931","Semillas de remolacha (excepto de remolacha azucarera) y de plantas forrajeras",6,"","01193","","Esta subcategoría no comprende:
- semillas de remolacha azucarera, véase 01.13.72","","SI","",
"011939","A011939","Materias primas vegetales n.c.o.p.",6,"","01193","Esta subcategoría comprende también:
- sorgo dulce, 
- polen (polen comestible), es decir, pequeños conglomerados con polen recolectado por abejas formados por néctar, miel y saliva de abeja","","","SI","",
"012","A012","Cultivos perennes",3,"","01","","","","","",
"0121","A0121","Uvas",4,"","012","","","","","",
"01211","A01211","Uvas",5,"","0121","","","","","",
"012111","A012111","Uvas de mesa",6,"","01211","","","","","",
"012112","A012112","Otros tipos de uvas frescas",6,"","01211","","","","","",
"0122","A0122","Frutos tropicales y subtropicales",4,"","012","","","","","",
"01221","A01221","Frutos tropicales y subtropicales",5,"","0122","","","","","",
"012211","A012211","Aguacates",6,"","01221","","","","","",
"012212","A012212","Bananas, plátanos y similares",6,"","01221","","","","","",
"012213","A012213","Dátiles",6,"","01221","","","","","",
"012214","A012214","Higos",6,"","01221","","Esta subcategoría no comprende:
- nopales, véase 01.25.90","","SI","",
"012219","A012219","Otros frutos tropicales y subtropicales",6,"","01221","","","","","",
"0123","A0123","Cítricos",4,"","012","","","","","",
"01231","A01231","Cítricos",5,"","0123","","","","","",
"012311","A012311","Pomelos y toronjas",6,"","01231","","","","","",
"012312","A012312","Limones y limas",6,"","01231","","","","","",
