"COD","CODINTEGR","TITULO","NIVEL","TITABREV","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"011380","A011380","Mushrooms and truffles",6,"","01138","","","This subcategory excludes:
- 	forest mushrooms, including wild truffles, see 02.30.40","","",
"01139","A01139","Vegetables, fresh, n.e.c.",5,"","0113","","","","","",
"011390","A011390","Vegetables, fresh, n.e.c.",6,"","01139","This subcategory includes:
- fennel, when used as a vegetable,
- celeriac other than ""rooted celery""
- other fresh vegetables, n.e.c","This subcategory also includes:
- fresh edible lucerne, soya bean and sunflower sprouts
- bean sprouts and shoots","This subcategory excludes: 
- celeriac ""rooted celery"", see 01.13.49,
- fennel, when used as a spice, see 01.28.14","","",
"0114","A0114","Sugar cane",4,"","011","","","","","",
"01141","A01141","Sugar cane",5,"","0114","","","","","",
"011410","A011410","Sugar cane",6,"","01141","","","","","",
"0115","A0115","Unmanufactured tobacco",4,"","011","","","","","",
"01151","A01151","Unmanufactured tobacco",5,"","0115","","","","","",
"011510","A011510","Unmanufactured tobacco",6,"","01151","","","This subcategory excludes:
- stemmed and redried tobacco, see 12.00.12","","",
"0116","A0116","Fibre crops",4,"","011","","","","","",
"01161","A01161","Fibre crops",5,"","0116","","","","","",
"011611","A011611","Cotton, whether or not ginned",6,"","01161","","This subcategory also includes:
- cotton seeds","","","",
"011612","A011612","Jute, kenaf and other textile bast fibres, raw or retted, except flax, true hemp and ramie",6,"","01161","","","This subcategory excludes:
- flax, true hemp and ramie, see 01.16.19","","",
"011619","A011619","Flax, true hemp and raw fibre crops n.e.c.",6,"","01161","","","","","",
"0119","A0119","Other non-perennial crops",4,"","011","","","","","",
"01191","A01191","Forage crops",5,"","0119","","","","","",
"011910","A011910","Forage crops",6,"","01191","This subcategory includes:
- swedes, mangolds, fodder roots, clover, alfalfa (lucerne), sainfoin, fodder maize and other grasses, forage kale and similar forage products","","This subcategory excludes:
- forage peas, see 01.11.62
- pellets and meals of forage crops, see 10.91","","",
"01192","A01192","Cut flowers and flower buds; flower seeds",5,"","0119","","","","","",
"011921","A011921","Cut flowers and flower buds",6,"","01192","","This subcategory also includes:
- 	bouquets, wreaths, floral baskets etc. arrangements containing flowers or flower buds (e.g. posies, buttonholes)
- cut branches of trees, shrubs and bushes, if they have flowers or flower buds (e.g. willow branches with","This subcategory excludes:
- willow branches without flower buds or flowers, see 01.29.30,
- foliage, branches and other parts of wild growing plants, without flowers or flower buds, suitable for ornamental purposes, see 02.30.30","","",
"011922","A011922","Flower seeds",6,"","01192","","This subcategory also includes:
- seeds of sweet pea (Lathyrus odoratus)","","","",
"01193","A01193","Beet seeds, seeds for forage plants; other raw vegetable materials",5,"","0119","","","","","",
"011931","A011931","Beet seeds (excluding sugar beet seeds) and seeds for forage plants",6,"","01193","","","This subcategory excludes:
- sugar beet seeds, see 01.13.72","","",
"011939","A011939","Raw vegetable materials n.e.c.",6,"","01193","","This subcategory also includes:
- sweet sorghum, 
- pollen (pollen meal) i.e. small pellets containing pollen gathered by bees formed by nectar, honey and bee saliva","This subcategory excludes:
- chicory roots, see 01.28.19
- pollen obtained by a mechanical process classified as part of the plant from which it is derived (e.g. pollen of plants used primarily in perfumery, pharmacy and the like), see 01.28.30 
- dried p","","",
"012","A012","Perennial crops",3,"","01","","","","","",
"0121","A0121","Grapes",4,"","012","","","","","",
"01211","A01211","Grapes",5,"","0121","","","","","",
"012111","A012111","Table grapes",6,"","01211","","","","","",
"012112","A012112","Other grapes, fresh",6,"","01211","","","","","",
"0122","A0122","Tropical and subtropical fruits",4,"","012","","","","","",
"01221","A01221","Tropical and subtropical fruits",5,"","0122","","","","","",
"012211","A012211","Avocados",6,"","01221","","","","","",
"012212","A012212","Bananas, plantains and similar",6,"","01221","","","","","",
"012213","A012213","Dates",6,"","01221","","","","","",
"012214","A012214","Figs",6,"","01221","","","This subcategory excludes:
- cactus pears, see 01.25.90","","",
"012219","A012219","Other tropical and subtropical fruits",6,"","01221","","","","","",
"0123","A0123","Citrus fruits",4,"","012","","","","","",
"01231","A01231","Citrus fruits",5,"","0123","","","","","",
"012311","A012311","Pomelo and grapefruits",6,"","01231","","","","","",
"012312","A012312","Lemons and limes",6,"","01231","","","","","",
"012313","A012313","Oranges",6,"","01231","","","","","",
"012314","A012314","Tangerines, mandarins, clementines",6,"","01231","","","","","",
"012319","A012319","Other citrus fruits",6,"","01231","","","","","",
"0124","A0124","Pome fruits and stone fruits",4,"","012","","","","","",
"01241","A01241","Apples",5,"","0124","","","","","",
"012410","A012410","Apples",6,"","01241","","","","","",
"01242","A01242","Other pome fruits and stone fruits",5,"","0124","","","","","",
"012421","A012421","Pears",6,"","01242","","","","","",
"012422","A012422","Quinces",6,"","01242","","","","","",
"012423","A012423","Apricots",6,"","01242","","","","","",
"012424","A012424","Cherries",6,"","01242","","","","","",
"012425","A012425","Peaches",6,"","01242","","","","","",
"012426","A012426","Nectarines",6,"","01242","","","","","",
"012427","A012427","Plums",6,"","01242","","","","","",
"012428","A012428","Sloes",6,"","01242","","","","","",
"012429","A012429","Other pome fruits and stone fruits n.e.c.",6,"","01242","","","","","",
"0125","A0125","Other tree and bush fruits and nuts",4,"","012","","","","","",
"01251","A01251","Berries and the fruits of the genus vaccinium",5,"","0125","","","","","",
"012511","A012511","Kiwi fruit",6,"","01251","","","","","",
"012512","A012512","Raspberries",6,"","01251","","","","","",
"012513","A012513","Strawberries",6,"","01251","","","","","",
"012519","A012519","Other berries, the fruits of the genus vaccinium n.e.c.",6,"","01251","This subcategory includes:
- cranberry, blueberry, lingonberry, bilberry, huckleberry
- currant and gooseberries","","","","",
"01252","A01252","Fruit seeds",5,"","0125","","","","","",
"012520","A012520","Fruit seeds",6,"","01252","","This subcategory also includes:
- seeds of ornamental trees or trees intended to beautify parks, gardens and streets","This subcategory excludes:
- locust bean seed undecorticated, neither crushed nor ground, see 01.25.90","","",
"01253","A01253","Nuts (excluding wild edible nuts, groundnuts and coconuts)",5,"","0125","","","This category excludes:
- groundnuts, in shell, see 01.11.82
- coconuts, see 01.26.20
- wild growing edible products, see 02.30.40
- shelled nuts and groundnuts, see 10.39.25","","",
"012531","A012531","Almonds",6,"","01253","","","","","",
"012532","A012532","Chestnuts",6,"","01253","","","","","",
"012533","A012533","Hazelnuts",6,"","01253","","","","","",
"012534","A012534","Pistachios",6,"","01253","","","","","",
"012535","A012535","Walnuts",6,"","01253","","","","","",
"012539","A012539","Other nuts (excluding wild edible nuts, groundnuts and coconuts)",6,"","01253","","","This subcategory excludes:
- groundnuts, in shell, see 01.11.82
- coconuts, see 01.26.20
- wild growing edible products, see 02.30.40
- groundnuts, shelled, see 10.39.25","","",
