"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"0","0","Menos que primaria","","1","","","","","","",""
"01","01","Nunca cursó un programa educativo","","2","0","","","","","",""
"010","010","Nunca cursó un programa educativo","","3","01","","","","","",""
"02","02","Educación de la primera infancia en forma parcial","","2","0","","","","","",""
"020","020","Educación de la primera infancia en forma parcial","","3","02","","","","","",""
"03","03","Primaria en forma parcial (sin conclusión del nivel)","","2","0","","","","","",""
"030","030","Primaria en forma parcial (sin conclusión del nivel)","","3","03","","","","","",""
"1","1","Educación Primaria","","1","","","","","","",""
"10","10","Primaria","","2","1","","","","","",""
"100","100","Incluye la conclusión exitosa de un programa de educación secundaria baja considerado insuficiente para la conclusión, o conclusión parcial, del nivel","","3","10","","","","","",""
"2","2","Educación secundaria baja","","1","","","","","","",""
"24","24","General","","2","2","","","","","",""
"242","242","Conclusión parcial del nivel; sin acceso directo a educación secundaria alta","","3","24","","","","","",""
"243","243","Conclusión del nivel; sin acceso directo a educación secundaria alta","","3","24","","","","","",""
"244","244","Conclusión del nivel; con acceso directo a educación secundaria alta","","3","24","","","","","",""
"25","25","Vocacional","","2","2","","","","","",""
"252","252","Conclusión parcial del nivel; sin acceso directo a educación secundaria alta","","3","25","","","","","",""
"253","253","Conclusión del nivel; sin acceso directo a educación secundaria alta","","3","25","","","","","",""
"254","254","Conclusión del nivel; con acceso directo a educación secundaria alta","","3","25","","","","","",""
"3","3","Educación secundaria alta","","1","","","","","","",""
"34","34","General","","2","3","","","","","",""
"342","342","Conclusión parcial del nivel; sin acceso directo a educación terciaria","","3","34","","","","","",""
"343","343","Conclusión del nivel; sin acceso directo a educación terciaria","","3","34","","","","","",""
"344","344","Conclusión del nivel; con acceso directo a educación terciaria","","3","34","","","","","",""
"35","35","Vocacional","","2","3","","","","","",""
"352","352","Conclusión parcial del nivel; sin acceso directo a educación terciaria","","3","35","","","","","",""
"353","353","Conclusión del nivel; sin acceso directo a educación terciaria","","3","35","","","","","",""
"354","354","Conclusión del nivel; con acceso directo a educación terciaria","","3","35","","","","","",""
"4","4","Educación postsecundaria no terciaria","","1","","","","","","",""
"44","44","General","","2","4","","","","","",""
"443","443","Conclusión del nivel; sin acceso directo a educación terciaria","","3","44","","","","","",""
"444","444","Conclusión del nivel; con acceso directo a educación terciaria","","3","44","","","","","",""
"45","45","Vocacional","","2","4","","","","","",""
"453","453","Conclusión del nivel; sin acceso directo a educación terciaria","","3","45","","","","","",""
"454","454","Conclusión del nivel; con acceso directo a educación terciaria","","3","45","","","","","",""
"5","5","Educación terciaria de ciclo corto","","1","","","","","","",""
"54","54","General","","2","5","","","","","",""
"540","540","No se define con mayor detalle","","3","54","","","","","",""
"55","55","Vocacional","","2","5","","","","","",""
"550","550","No se define con mayor detalle","","3","55","","","","","",""
"56","56","Orientación no especificada","","2","5","","","","","",""
"560","560","No se define con mayor detalle","","3","56","","","","","",""
"6","6","Nivel de licenciatura o equivalente","","1","","","","","","",""
"64","64","Académica","","2","6","","","","","",""
"640","640","No se define con mayor detalle","","3","64","","","","","",""
"65","65","Profesional","","2","6","","","","","",""
"650","650","No se define con mayor detalle","","3","65","","","","","",""
"66","66","Orientación no especificada","","2","6","","","","","",""
"660","660","No se define con mayor detalle","","3","66","","","","","",""
"7","7","Nivel de maestría o equivalente","","1","","","","","","",""
"74","74","Académica","","2","7","","","","","",""
"740","740","No se define con mayor detalle","","3","74","","","","","",""
"75","75","Profesional","","2","7","","","","","",""
"750","750","No se define con mayor detalle","","3","75","","","","","",""
"76","76","Orientación no especificada","","2","7","","","","","",""
"760","760","No se define con mayor detalle","","3","76","","","","","",""
"8","8","Nivel de doctorado o equivalente","","1","","","","","","",""
"84","84","Académica","","2","8","","","","","",""
"840","840","No se define con mayor detalle","","3","84","","","","","",""
"85","85","Profesional","","2","8","","","","","",""
"850","850","No se define con mayor detalle","","3","85","","","","","",""
"86","86","Orientación no especificada","","2","8","","","","","",""
"860","860","No se define con mayor detalle","","3","86","","","","","",""
"9","9","No clasificado en otra parte","","1","","","","","","",""
"99","99","No clasificado en otra parte","","2","9","","","","","",""
"999","999","No clasificado en otra parte","","3","99","","","","","",""
