"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"00","00","Programas y certificaciones genéricos","","1","","","","","","",""
"000","000","Programas y certificaciones genéricos sin información disponible","","2","00","","","","","",""
"0000","0000","Programas y certificaciones genéricos sin información disponible","","3","000","","","","","",""
"001","001","Programas y certificaciones básicos ","","2","00","","","","","",""
"0011","0011","Programas y certificaciones básicos ","","3","001","","","","","",""
"002","002","Alfabetización y aritmética elemental","","2","00","","","","","",""
"0021","0021","Alfabetización y aritmética elemental","","3","002","","","","","",""
"003","003","Competencias personales y desarrollo","","2","00","","","","","",""
"0031","0031","Competencias personales y desarrollo","","3","003","","","","","",""
"009","009","Programas y certificaciones genéricos, no clasificados en otra parte","","2","00","","","","","",""
"0099","0099","Programas y certificaciones genéricos, no clasificados en otra parte","","3","009","","","","","",""
"01","01","Educación","","1","","","","","","",""
"011","011","Educación","","2","01","","","","","",""
"0110","0110","Educación  sin información disponible","","3","011","","","","","",""
"0111","0111","Ciencias de la educación","","3","011","","","","","",""
"0112","0112","Formación para docentes de educación preprimaria","","3","011","","","","","",""
"0113","0113","Formación para docentes sin asignatura de especialización ","","3","011","","","","","",""
"0114","0114","Formación para docentes con asignatura de especialización ","","3","011","","","","","",""
"0119","0119","Educación, no clasificados en otra parte ","","3","011","","","","","",""
"018","018","Educación, sin sector detallado dominante","","2","01","","","","","",""
"0188","0188","Educación, sin sector detallado dominante","","3","018","","","","","",""
"02","02","Artes y humanidades","","1","","","","","","",""
"020","020","Artes y humanidades sin información disponible","","2","02","","","","","",""
"0200","0200","Artes y humanidades sin información disponible","","3","020","","","","","",""
"021","021","Artes","","2","02","","","","","",""
"0210","0210","Artes  sin información disponible","","3","021","","","","","",""
"0211","0211","Técnicas audiovisuales y producción para medios de comunicación","","3","021","","","","","",""
"0212","0212","Diseño industrial, de modas e interiores","","3","021","","","","","",""
"0213","0213","Bellas artes","","3","021","","","","","",""
"0214","0214","Artesanías","","3","021","","","","","",""
"0215","0215","Música y artes escénicas","","3","021","","","","","",""
"0219","0219","Artes, no clasificados en otra parte ","","3","021","","","","","",""
"022","022","Humanidades (excepto idiomas)","","2","02","","","","","",""
"0220","0220","Humanidades (excepto idiomas) sin información disponible","","3","022","","","","","",""
"0221","0221","Religión y teología","","3","022","","","","","",""
"0222","0222","Historia y arqueología ","","3","022","","","","","",""
"0223","0223","Filosofía y ética","","3","022","","","","","",""
"0229","0229","Humanidades (excepto idiomas), no clasificados en otra parte ","","3","022","","","","","",""
"023","023","Idiomas","","2","02","","","","","",""
"0230","0230","Idiomas  sin información disponible","","3","023","","","","","",""
"0231","0231","Adquisición del lenguaje","","3","023","","","","","",""
"0232","0232","Literatura y lingüística","","3","023","","","","","",""
"0239","0239","Idiomas, no clasificados en otra parte ","","3","023","","","","","",""
