"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"152","DA152","Elaboración y conservación de pescados y productos a base de pescado","","4","15","","","","","",
"1520","DA1520","Elaboración y conservación de pescados y productos a base de pescado","","5","152","Esta clase comprende:
¿   la preparación y conservación de pescados, crustáceos y moluscos: congelación, ultracongelación, secado, ahumado, salazón, conservación en salmuera, enlatado, etc.
¿   la producción de productos derivados de pescados, crustáceos y moluscos: producción de pescado cocinado, filetes de pescado, huevas, caviar, sucedáneos de caviar, etc.
¿   la producción de platos precocinados a base de pescado
¿   la fabricación de piensos a base de pescado","Esta clase comprende también:
¿   las actividades de barcos factoría dedicados exclusivamente a la elaboración y conservación de pescado","Esta clase no comprende:
¿   las actividades de los barcos factoría que practican simultáneamente la pesca y la elaboración y conservación de pescado (véase 05.01)
¿   la producción de aceites y grasas a partir de productos marinos (véase 15.41)
¿   la elaboración de sopas de pescado (véase 15.89)","","",
"153","DA153","Elaboración y conservación de frutas y hortalizas","","4","15","","","","","",
"1531","DA1531","Preparación y conservación de patatas","","5","153","Esta clase comprende:
¿   la producción de patatas congeladas precocinadas
¿   la producción de puré de patatas deshidratadas
¿   la producción de aperitivos a base de patata
¿   la producción de patatas fritas a la inglesa
¿   la elaboración de harinas y sémola de patatas","Esta clase comprende también:
¿   el pelado industrial de patatas","","","",
"1532","DA1532","Fabricación de jugos de frutas y hortalizas","","5","153","","Esta clase comprende también:
¿   la producción de concentrados","","","",
"1533","DA1533","Fabricación de conservas de frutas y hortalizas","","5","153","Esta clase comprende:
¿   la conservación de frutas, frutos secos, legumbres y hortalizas: congelación, secado, conservación en aceite o en vinagre, enlatado, etc.
¿   la fabricación de productos alimenticios a base de frutas, legumbres y hortalizas
¿   la fabricación de confituras, mermeladas y jaleas","","Esta clase no comprende:
¿   la fabricación de productos de molinería (véase 15.61)
¿   la conservación de frutas y frutos secos en azúcar (véase 15.84)","","",
"154","DA154","Fabricación de grasas y aceites, vegetales y animales","","4","15","","","","","",
"1541","DA1541","Fabricación de aceites y grasas sin refinar","","5","154","Esta clase comprende:
¿   la producción de aceites vegetales sin refinar: la producción de aceite de oliva, soja, palma, girasol, semillas de algodón, colza, nabina, mostaza, linaza, etc.
¿   la producción de harinas o sémolas no desgrasadas a partir de semillas, frutos secos o pepitas oleaginosas","Esta clase comprende también:
¿   la producción de aceites y grasas animales no comestibles
¿   la obtención de aceites de pescado y de mamíferos marinos.

Nota:
las borras de algodón, las tortas de aceite y demás residuos de la obtención de aceite son un subproducto de esta clase","Esta clase no comprende:
¿   la obtención y refinado de manteca de cerdo y otras grasas animales comestibles (véase 15.11)
¿   el triturado de maíz húmedo (véase 15.62)
¿   la fabricación de aceites esenciales (véase 24.63)","","",
"1542","DA1542","Fabricación de aceites y grasas refinados","","5","154","Esta clase comprende:
¿   la producción de aceites vegetales refinados: la producción de aceite de oliva, soja, etc.
¿   el procesado de aceites vegetales: soplado, cocido, oxidación, polimerización, deshidratación, hidrogenación, etc.","","Esta clase no comprende:
¿   la producción de aceite de oliva a partir de aceituna de producción propia (véase 01.13)
¿   la producción de aceites y grasas animales no comestibles (véase 15.41)
¿   la obtención de aceites de pescado y de mamíferos marinos (véase 15.41)","","",
"1543","DA1543","Fabricación de margarina y grasas comestibles similares","","5","154","Esta clase comprende:
¿   la obtención de margarina
¿   la elaboración de otros sucedáneos de la mantequilla
¿   la obtención de grasas compuestas para cocinar","","","","",
"155","DA155","Industrias lácteas","","4","15","","","","","",
"1551","DA1551","Fabricación de productos lácteos","","5","155","Esta clase comprende:
¿   la producción de leche líquida fresca, pasteurizada, esterilizada, homogeneizada o tratada a altas temperaturas
¿   la producción de bebidas refrescantes a base de leche
¿   la producción de nata a partir de leche líquida fresca, pasteurizada, esterilizada, homogeneizada
¿   la elaboración de leche en polvo o concentrada, azucarada o sin azucarar
¿   la producción de mantequilla
¿   la producción de queso y cuajada
¿   la producción de suero de leche
¿   la producción de caseína y lactosa
¿   la producción de yogur","","Esta clase no comprende:
¿   la producción de leche cruda de vaca (véase 01.21)","","",
"A","A","Agricultura, ganadería, caza y silvicultura","","1","","","","","","",
"AA","AA","Agricultura, ganadería, caza y silvicultura","","2","A","","","","","",
"01","AA01","Agricultura, ganadería, caza y actividades de servicios relacionados con las mismas","","3","AA","","","","","",
"011","AA011","Producción agrícola","","4","01","","","","","",
"0111","AA0111","Cultivo de cereales y otros cultivos","","5","011","Esta clase comprende:
¿   el cultivo de granos de cereales: el cultivo de trigo duro y blando, centeno, cebada, avena, maíz, arroz, etc.
¿   el cultivo de patatas
¿   el cultivo de remolacha azucarera
¿   el cultivo de tabaco, incluidos su tratamiento preliminar, la recolección y el secado de hojas de tabaco
¿   el cultivo de semillas y frutos oleaginosos: cacahuetes, soja, colza, etc.
¿   el cultivo de semillas de remolacha azucarera y semillas de plantas forrajeras, incluidas las gramíneas
¿   el cultivo de conos de lúpulo, raíces y tubérculos ricos en almidón o inulina
¿   el cultivo de algodón, el cultivo de diversas plantas textiles, el enriado de plantas portadoras de fibras vegetales
¿   el cultivo de leguminosas grano tales como guisantes forrajeros y alubias
¿   el cultivo de plantas utilizadas principalmente en farmacología o como insecticidas, fungicidas o similares
¿   el cultivo de productos agrarios n.c.o.p.","","Esta clase no comprende:
¿   el cultivo de melones (véase 01.12)
¿   el cultivo de maíz dulce (véase 01.12)
¿   el cultivo de otras legumbres y hortalizas (véase 01.12)
¿   el cultivo de flores (véase 01.12)
¿   la producción de flores y semillas para legumbres y hortalizas (véase 01.12)
¿   el cultivo de especialidades de horticultura (véase 01.12)
¿   el cultivo de aceitunas (véase 01.13)
¿   el cultivo de plantas para infusiones y bebidas (véase 01.13)
¿   el cultivo de especias (véase 01.13)
¿   el cultivo de frutos secos (véase 01.13)
¿   la recolección de productos forestales y de otros productos silvestres (véase 02.01)
¿   el cultivo de materias vegetales utilizadas en el trenzado (véase 02.01)","","",
