"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","FECHA_NOTA"
"01","01","Araba/Álava","","1","","","","","","",""
"02","02","Albacete","","1","","","","","","",""
"03","03","Alicante/Alacant","","1","","","","","","",""
"04","04","Almería","","1","","","","","","",""
"05","05","Ávila","","1","","","","","","",""
"06","06","Badajoz","","1","","","","","","",""
"07","07","Balears, Illes","","1","","","","","","",""
"08","08","Barcelona","","1","","","","","","",""
"09","09","Burgos","","1","","","","","","",""
"10","10","Cáceres","","1","","","","","","",""
"11","11","Cádiz","","1","","","","","","",""
"12","12","Castellón /Castelló","","1","","","","","","",""
"13","13","Ciudad Real","","1","","","","","","",""
"14","14","Córdoba","","1","","","","","","",""
"15","15","Coruña, A","","1","","","","","","",""
"16","16","Cuenca","","1","","","","","","",""
"17","17","Girona","","1","","","","","","",""
"18","18","Granada","","1","","","","","","",""
"19","19","Guadalajara","","1","","","","","","",""
"20","20","Gipuzkoa","","1","","","","","","",""
"21","21","Huelva","","1","","","","","","",""
"22","22","Huesca","","1","","","","","","",""
"23","23","Jaén","","1","","","","","","",""
"24","24","León","","1","","","","","","",""
"25","25","Lleida","","1","","","","","","",""
"26","26","Rioja, La","","1","","","","","","",""
"27","27","Lugo","","1","","","","","","",""
"28","28","Madrid","","1","","","","","","",""
"29","29","Málaga","","1","","","","","","",""
"30","30","Murcia","","1","","","","","","",""
"31","31","Navarra","","1","","","","","","",""
"32","32","Ourense","","1","","","","","","",""
"33","33","Asturias","","1","","","","","","",""
"34","34","Palencia","","1","","","","","","",""
"35","35","Palmas, Las","","1","","","","","","",""
"36","36","Pontevedra","","1","","","","","","",""
"37","37","Salamanca","","1","","","","","","",""
"38","38","Santa Cruz de Tenerife","","1","","","","","","",""
"39","39","Cantabria","","1","","","","","","",""
"40","40","Segovia","","1","","","","","","",""
"41","41","Sevilla","","1","","","","","","",""
"42","42","Soria","","1","","","","","","",""
"43","43","Tarragona","","1","","","","","","",""
"44","44","Teruel","","1","","","","","","",""
"45","45","Toledo","","1","","","","","","",""
"46","46","Valencia/València","","1","","","","","","",""
"47","47","Valladolid","","1","","","","","","",""
"48","48","Bizkaia","","1","","","","","","",""
"49","49","Zamora","","1","","","","","","",""
"50","50","Zaragoza","","1","","","","","","",""
"51","51","Ceuta","","1","","","","","","",""
"52","52","Melilla","","1","","","","","","",""
