index;Tipo de establecimiento turístico;Estado del dato;Anual;Medida;Total;
1;Hotel;Definitivo;2021;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;243660;
2;Hotel;Definitivo;2020;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;240758;
3;Hotel;Definitivo;2019;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;236003;
4;Hotel;Definitivo;2018;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;232483;
5;Hotel;Definitivo;2017;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;231907;
6;Hotel;Definitivo;2016;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;226877;
7;Hotel;Definitivo;2015;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;228024;
8;Hotel;Provisional;2024;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;251636;
9;Hotel;Provisional;2023;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;249358;
10;Hotel;Provisional;2022;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;247190;
11;Hotel-Apartamento;Definitivo;2021;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;25459;
12;Hotel-Apartamento;Definitivo;2020;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;24812;
13;Hotel-Apartamento;Definitivo;2019;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;25445;
14;Hotel-Apartamento;Definitivo;2018;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;25395;
15;Hotel-Apartamento;Definitivo;2017;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;23859;
16;Hotel-Apartamento;Definitivo;2016;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;23591;
17;Hotel-Apartamento;Definitivo;2015;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;22991;
18;Hotel-Apartamento;Provisional;2024;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;27925;
19;Hotel-Apartamento;Provisional;2023;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;26994;
20;Hotel-Apartamento;Provisional;2022;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;26789;
21;Apartamentos turísticos;Definitivo;2021;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;92385;
22;Apartamentos turísticos;Definitivo;2020;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;85422;
23;Apartamentos turísticos;Definitivo;2019;https://stats.linkeddata.es/voc/cubes/vocabulary#numberOfBedplaces;84088;
